AptamerId,SeqId,Type,Target,SomaId,TargetFullName,UniProt,IsIn1310Panel,IsIn1129Panel,note,PlasmaDilution,SerumDilution
11103-24,11103-24_3,Protein,HSP 27,SL000448,Heat shock protein beta-1,P04792,1,0,1.3k only,40,40
5467-15,5467-15_3,Protein,HSP 90b,SL000454,Heat shock protein HSP 90-beta,P08238,1,0,1.3k only,1,1
13131-5,13131-5_3,Protein,HXK1,SL011180,Hexokinase-1,P19367,1,0,1.3k only,40,1
13130-150,13130-150_3,Protein,HXK2,SL007272,Hexokinase-2,P52789,1,0,1.3k only,40,40
9183-7,9183-7_3,Protein,IFN-a/b R1,SL004475,Interferon alpha/beta receptor 1,P17181,1,0,1.3k only,40,1
14127-240,14127-240_3,Protein,IFN-b,SL001880,Interferon beta,P01574,1,0,1.3k only,40,40
14128-121,14128-121_3,Protein,IFN10,SL017106,Interferon alpha-10,P01566,1,0,1.3k only,40,40
14129-1,14129-1_3,Protein,IFNA7,SL019978,Interferon alpha-7,P01567,1,0,1.3k only,40,40
14133-93,14133-93_3,Protein,IL-1 sRII,SL000145,Interleukin-1 receptor type 2,P27930,1,0,1.3k only,1,1
10344-334,10344-334_3,Protein,IL-10 Ra,SL005173,Interleukin-10 receptor subunit alpha,Q13651,1,0,1.3k only,1,1
14150-7,14150-7_3,Protein,IL-1F6,SL005177,Interleukin-36 alpha,Q9UHA7,1,0,1.3k only,1,1
14149-9,14149-9_3,Protein,IL-1F8,SL005179,Interleukin-36 beta,Q9NZH7,1,0,1.3k only,40,40
5353-89,5353-89_2,Protein,IL-1Ra,SL001990,Interleukin-1 receptor antagonist protein,P18510,1,0,1.3k only,40,1
5834-18,5834-18_3,Protein,IL-9,SL000485,Interleukin-9,P15248,1,0,1.3k only,40,40
9180-6,9180-6_3,Protein,INGR2,SL007217,Interferon gamma receptor 2,P38484,1,0,1.3k only,40,40
10351-51,10351-51_3,Protein,IRF1,SL007108,Interferon regulatory factor 1,P10914,1,0,1.3k only,40,1
13124-20,13124-20_3,Protein,ISLR2,SL018587,Immunoglobulin superfamily containing leucine-rich repeat protein 2,Q6UXK2,1,0,1.3k only,40,1
11089-7,11089-7_3,Protein,IgA,SL000459,Immunoglobulin A,P01876 P01877,1,0,1.3k only,0.005,0.005
8485-7,8485-7_3,Protein,KEAP1,SL017529,Kelch-like ECH-associated protein 1,Q14145,1,0,1.3k only,40,1
13129-40,13129-40_3,Protein,LDLR,SL007070,Low-density lipoprotein receptor,P01130,1,0,1.3k only,40,40
9197-4,9197-4_3,Protein,LEG9,SL008486,Galectin-9,O00182,1,0,1.3k only,40,40
11094-104,11094-104_3,Protein,LPPL,SL007361,Galectin-10,Q05315,1,0,1.3k only,40,40
7640-29,7640-29_3,Protein,LRP1B,SL013872,Low-density lipoprotein receptor-related protein 1B,Q9NZR2,1,0,1.3k only,0.005,0.005
10990-21,10990-21_3,Protein,LRRK2,SL017128,Leucine-rich repeat serine/threonine-protein kinase 2,Q5S007,1,0,1.3k only,1,1
13133-73,13133-73_3,Protein,LTBP4,SL007033,Latent-transforming growth factor beta-binding protein 4,Q8N2S1,1,0,1.3k only,1,1
13107-9,13107-9_3,Protein,LYPD3,SL008402,Ly6/PLAUR domain-containing protein 3,O95274,1,0,1.3k only,40,1
7638-30,7638-30_3,Protein,"Lectin, mannose-binding 2",SL005403,Vesicular integral-membrane protein VIP36,Q12907,1,0,1.3k only,1,0.005
13114-50,13114-50_3,Protein,Lumican,SL006230,Lumican,P51884,1,0,1.3k only,0.005,0.005
4374-45,4374-45_2,Protein,MIC-1,SL003869,Growth/differentiation factor 15,Q99988,1,0,1.3k only,1,1
9188-119,9188-119_3,Protein,MIG,SL003188,C-X-C motif chemokine 9,Q07325,1,0,1.3k only,40,40
6151-18,6151-18_3,Protein,MP2K3,SL007242,Dual specificity mitogen-activated protein kinase kinase 3,P46734,1,0,1.3k only,40,40
9176-3,9176-3_3,Protein,MUC1,SL000001,Mucin-1,P15941,1,0,1.3k only,40,40
7648-9,7648-9_3,Protein,MYPC1,SL017328,"Myosin-binding protein C, slow-type",Q00872,1,0,1.3k only,40,1
10358-33,10358-33_3,Protein,Mcl-1,SL003755,Induced myeloid leukemia cell differentiation protein Mcl-1,Q07820,1,0,1.3k only,40,40
14583-49,14583-49_3,Protein,Myostatin,SL004357,Growth/differentiation factor 8,O14793,1,0,1.3k only,40,1
7655-11,7655-11_3,Protein,N-terminal pro-BNP,SL002785,N-terminal pro-BNP,P16860,1,0,1.3k only,40,40
13109-82,13109-82_3,Protein,NEGR1,SL008810,Neuronal growth regulator 1,Q7Z3B1,1,0,1.3k only,1,1
6649-51,6649-51_3,Protein,NET1,SL012395,Netrin-1,O95631,1,0,1.3k only,40,40
9178-30,9178-30_3,Protein,NEUREGULIN-1,SL004297,Neuregulin-1,Q02297,1,0,1.3k only,40,40
14139-16,14139-16_3,Protein,NRG4,SL007828,Neuregulin-4,Q8WWG1,1,0,1.3k only,40,40
10339-48,10339-48_3,Protein,NSE,SL001731,Gamma-enolase,P09104,1,0,1.3k only,40,1
10361-25,10361-25_3,Protein,OAS1,SL014684,2'-5'-oligoadenylate synthase 1,P00973,1,0,1.3k only,40,40
11067-13,11067-13_3,Protein,Osteocalcin,SL001791,Osteocalcin,P02818,1,0,1.3k only,1,1
13113-7,13113-7_3,Protein,Osteopontin,SL002688,Osteopontin,P10451,1,0,1.3k only,40,1
5253-1,5253-1_1,Protein,PDE1A,SL011400,"Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1A",P54750,1,0,1.3k only,40,40
10366-11,10366-11_3,Protein,PDGFRA,SL001728,Platelet-derived growth factor receptor alpha,P16234,1,0,1.3k only,40,40
11098-1,11098-1_3,Protein,PDXK,SL007953,Pyridoxal kinase,O00764,1,0,1.3k only,40,40
9211-19,9211-19_3,Protein,PEDF,SL003066,Pigment epithelium-derived factor,P36955,1,0,1.3k only,0.005,0.005
5915-58,5915-58_3,Protein,PEX5,SL012148,Peroxisomal targeting signal 1 receptor,P50542,1,0,1.3k only,40,40
9173-21,9173-21_3,Protein,PGM1,SL008094,Phosphoglucomutase-1,P36871,1,0,1.3k only,40,40
14114-18,14114-18_3,Protein,PIANP,SL019019,PILR alpha-associated neural protein,Q8IYJ0,1,0,1.3k only,40,40
10342-55,10342-55_3,Protein,PIAS4,SL019096,E3 SUMO-protein ligase PIAS4,Q8N2W9,1,0,1.3k only,40,40
5360-9,5360-9_2,Protein,PKB beta,SL003722,RAC-beta serine/threonine-protein kinase,P31751,1,0,1.3k only,40,1
9216-100,9216-100_3,Protein,PLXB2,SL009948,Plexin-B2,O15031,1,0,1.3k only,1,1
13095-51,13095-51_3,Protein,PSP,SL005357,Lithostathine-1-alpha,P05451,1,0,1.3k only,0.005,0.005
6641-60,6641-60_3,Protein,PolyUbiquitin K48,SL017289,PolyUbiquitin K48-linked,P0CG47,1,0,1.3k only,1,1
6647-55,6647-55_3,Protein,PolyUbiquitin K63,SL017290,PolyUbiquitin K63-linked,P0CG48,1,0,1.3k only,40,1
9207-60,9207-60_3,Protein,QORL1,SL018887,Quinone oxidoreductase-like protein 1,O95825,1,0,1.3k only,1,1
5271-5,5271-5_1,Protein,RAC3,SL007310,Ras-related C3 botulinum toxin substrate 3,P60763,1,0,1.3k only,40,40
11102-22,11102-22_3,Protein,REG4,SL012561,Regenerating islet-derived protein 4,Q9BYZ8,1,0,1.3k only,1,1
14120-2,14120-2_3,Protein,RNF43,SL018629,E3 ubiquitin-protein ligase RNF43,Q68DV7,1,0,1.3k only,40,1
8470-213,8470-213_3,Protein,RNase H1,SL017528,Ribonuclease H1,O60930,1,0,1.3k only,40,40
5484-63,5484-63_3,Protein,RS3A,SL011588,40S ribosomal protein S3a,P61247,1,0,1.3k only,40,40
13094-75,13094-75_3,Protein,RSPO3,SL018509,R-spondin-3,Q9BXY4,1,0,1.3k only,40,40
8464-31,8464-31_3,Protein,RSPO4,SL012517,R-spondin-4,Q2I0M5,1,0,1.3k only,40,40
14135-3,14135-3_3,Protein,RXFP1,SL020172,Relaxin receptor 1,Q9HBX9,1,0,1.3k only,40,40
5852-6,5852-6_3,Protein,S100A12,SL004783,Protein S100-A12,P80511,1,0,1.3k only,1,1
14116-129,14116-129_3,Protein,S100A4,SL004821,Protein S100-A4,P26447,1,0,1.3k only,1,1
13090-17,13090-17_3,Protein,S100A6,SL004827,Protein S100-A6,P06703,1,0,1.3k only,1,1
5921-58,5921-58_3,Protein,S100A7,SL004829,Protein S100-A7,P31151,1,0,1.3k only,40,40
13093-6,13093-6_3,Protein,SECTM1,SL005430,Secreted and transmembrane protein 1,Q8WVN6,1,0,1.3k only,1,1
13132-14,13132-14_3,Protein,SEM5A,SL008522,Semaphorin-5A,Q13591,1,0,1.3k only,40,1
5121-3,5121-3_2,Protein,SEM6B,SL014248,Semaphorin-6B,Q9H3T3,1,0,1.3k only,40,40
5430-66,5430-66_3,Protein,SHPS1,SL008967,Tyrosine-protein phosphatase non-receptor type substrate 1,P78324,1,0,1.3k only,40,40
3643-90,3643-90_2,Protein,SLIK1,SL008760,SLIT and NTRK-like protein 1,Q96PX8,1,0,1.3k only,40,1
10364-6,10364-6_3,Protein,SMAD2,SL004101,Mothers against decapentaplegic homolog 2,Q15796,1,0,1.3k only,40,40
10363-13,10363-13_3,Protein,SMAD3,SL004097,Mothers against decapentaplegic homolog 3,P84022,1,0,1.3k only,40,1
13118-5,13118-5_3,Protein,SMOC1,SL011888,SPARC-related modular calcium-binding protein 1,Q9H4F8,1,0,1.3k only,1,1
13105-7,13105-7_3,Protein,SNP25,SL007311,Synaptosomal-associated protein 25,P60880,1,0,1.3k only,40,1
8463-2,8463-2_3,Protein,SOD3,SL003672,Extracellular superoxide dismutase [Cu-Zn],P08294,1,0,1.3k only,0.005,0.005
13101-60,13101-60_3,Protein,SOST,SL007631,Sclerostin,Q9BQB4,1,0,1.3k only,40,40
10370-21,10370-21_3,Protein,STAT1,SL004396,Signal transducer and activator of transcription 1-alpha/beta,P42224,1,0,1.3k only,40,40
10346-5,10346-5_3,Protein,STAT3,SL007221,Signal transducer and activator of transcription 3,P40763,1,0,1.3k only,1,1
10372-18,10372-18_3,Protein,STAT6,SL007229,Signal transducer and activator of transcription 6,P42226,1,0,1.3k only,1,1
9169-14,9169-14_3,Protein,SUMO3,SL018938,Small ubiquitin-related modifier 3,P55854,1,0,1.3k only,1,1
9185-15,9185-15_3,Protein,TFF1,SL008591,Trefoil factor 1,P04155,1,0,1.3k only,40,40
11101-18,11101-18_3,Protein,TLR4,SL004489,Toll-like receptor 4,O00206,1,0,1.3k only,40,40
5534-49,5534-49_2,Protein,TRAIL R2,SL004157,Tumor necrosis factor receptor superfamily member 10B,O14763,1,0,1.3k only,40,40
14121-24,14121-24_3,Protein,TRAIL R4,SL004159,Tumor necrosis factor receptor superfamily member 10D,Q9UBN6,1,0,1.3k only,40,40
5947-90,5947-90_3,Protein,Tpo,SL000598,Thrombopoietin,P40225,1,0,1.3k only,40,40
9201-13,9201-13_3,Protein,Transgelin-2,SL004811,Transgelin-2,P37802,1,0,1.3k only,1,1
9191-8,9191-8_3,Protein,Trefoil factor 2,SL002602,Trefoil factor 2,Q03403,1,0,1.3k only,40,1
7660-21,7660-21_3,Protein,Tropomyosin 4,SL003646,Tropomyosin alpha-4 chain,P67936,1,0,1.3k only,1,1
5315-22,5315-22_3,Protein,Troponin T,SL000052,"Troponin T, cardiac muscle",P45379,1,0,1.3k only,40,1
9199-6,9199-6_3,Protein,UB2G2,SL018946,Ubiquitin-conjugating enzyme E2 G2,P60604,1,0,1.3k only,1,1
9215-117,9215-117_3,Protein,UBP25,SL018947,Ubiquitin carboxyl-terminal hydrolase 25,Q9UHP3,1,0,1.3k only,40,40
14151-4,14151-4_3,Protein,UCRP,SL015510,Ubiquitin-like protein ISG15,P05161,1,0,1.3k only,40,40
5275-28,5275-28_2,Protein,VAV,SL014488,Proto-oncogene vav,P15498,1,0,1.3k only,40,40
13098-93,13098-93_3,Protein,VEGF-D,SL003320,Vascular endothelial growth factor D,O43915,1,0,1.3k only,1,1
13125-45,13125-45_3,Protein,Vitronectin,SL000616,Vitronectin,P04004,1,0,1.3k only,1,1
5927-4,5927-4_3,Protein,WISP-3,SL004690,WNT1-inducible-signaling pathway protein 3,O95389,1,0,1.3k only,40,40
5493-17,5493-17_3,Protein,WNK3,SL010524,Serine/threonine-protein kinase WNK3,Q9BYP7,1,0,1.3k only,1,1
11104-13,11104-13_3,Protein,YKL-40,SL003340,Chitinase-3-like protein 1,P36222,1,0,1.3k only,1,1
14122-132,14122-132_3,Protein,ZNRF3,SL018971,E3 ubiquitin-protein ligase ZNRF3,Q9ULT6,1,0,1.3k only,40,40
8458-111,8458-111_3,Protein,a-Synuclein,SL005266,Alpha-synuclein,P37840,1,0,1.3k only,40,1
5864-10,5864-10_3,Protein,aldolase A,SL004910,Fructose-bisphosphate aldolase A,P04075,1,0,1.3k only,1,1
10356-21,10356-21_3,Protein,c-Jun,SL000455,Transcription factor AP-1,P05412,1,0,1.3k only,40,40
10362-35,10362-35_3,Protein,c-Myc,SL002565,Myc proto-oncogene protein,P01106,1,0,1.3k only,40,40
5885-55,5885-55_3,Protein,eIF-4H,SL004924,Eukaryotic translation initiation factor 4H,Q15056,1,0,1.3k only,40,1
8447-11,8447-11_3,Protein,ghrelin,SL004269,Appetite-regulating hormone,Q9UBU3,1,0,1.3k only,40,40
6152-111,6152-111_3,Protein,p53,SL000074,Cellular tumor antigen p53,P04637,1,0,1.3k only,1,1
13119-26,13119-26_3,Protein,protein Z inhibitor,SL004467,Protein Z-dependent protease inhibitor,Q9UK55,1,0,1.3k only,1,1
9182-3,9182-3_3,Protein,sLRP1,SL004733,"Low-density lipoprotein receptor-related protein 1, soluble",Q07954,1,0,1.3k only,40,40
3583-54,3583-54_6,Protein,Arylsulfatase A,SL005392,Arylsulfatase A,P15289,1,1,common,40,1
3587-53,3587-53_7,Protein,BMP10,SL007056,Bone morphogenetic protein 10,O95393,1,1,common,40,1
3606-2,3606-2_5,Protein,Discoidin domain receptor 2,SL004120,Discoidin domain-containing receptor 2,Q16832,1,1,common,40,1
3633-70,3633-70_5,Protein,NID2,SL008193,Nidogen-2,Q14112,1,1,common,1,1
3309-2,3309-2_2,Protein,FCG2A,SL010459,Low affinity immunoglobulin gamma Fc region receptor II-a,P12318,1,1,common,1,1
3310-62,3310-62_1,Protein,FCG2B,SL010460,Low affinity immunoglobulin gamma Fc region receptor II-b,P31994,1,1,common,1,1
2765-4,2765-4_3,Protein,GDF-11/8,SL021043,Growth/differentiation factor 11/8,O95390 O14793,1,1,common,1,1
4179-57,4179-57_3,Protein,14-3-3,SL017611,14-3-3 protein family,"P31946, P62258, P61981, Q04917, P27348, P63104, P31947",1,1,common,1,1
4708-3,4708-3_2,Protein,17-beta-HSD 1,SL004253,Estradiol 17-beta-dehydrogenase 1,P14061,1,1,common,40,1
4693-72,4693-72_2,Protein,3HIDH,SL008085,"3-hydroxyisobutyrate dehydrogenase, mitochondrial",P31937,1,1,common,40,40
2598-9,2598-9_3,Protein,4-1BB,SL004126,Tumor necrosis factor receptor superfamily member 9,Q07011,1,1,common,40,40
2599-51,2599-51_2,Protein,4-1BB ligand,SL003735,Tumor necrosis factor ligand superfamily member 9,P41273,1,1,common,40,40
4957-1,4957-1_2,Protein,40S ribosomal protein SA,SL004605,40S ribosomal protein SA,P08865,1,1,common,40,1
4706-17,4706-17_2,Protein,41,SL010830,Protein 4.1,P11171,1,1,common,1,1
4184-43,4184-43_3,Protein,4EBP2,SL008378,Eukaryotic translation initiation factor 4E-binding protein 2,Q13542,1,1,common,40,40
4187-49,4187-49_2,Protein,6-Phosphogluconate dehydrogenase,SL000247,"6-phosphogluconate dehydrogenase, decarboxylating",P52209,1,1,common,1,1
2516-57,2516-57_3,Protein,6Ckine,SL003193,C-C motif chemokine 21,O00585,1,1,common,1,1
3341-33,3341-33_4,Protein,ABL1,SL006892,Tyrosine-protein kinase ABL1,P00519,1,1,common,40,40
5261-13,5261-13_3,Protein,ABL2,SL010488,Abelson tyrosine-protein kinase 2,P42684,1,1,common,40,1
2805-6,2805-6_2,Protein,ACE2,SL004415,Angiotensin-converting enzyme 2,Q9BYF1,1,1,common,40,40
4890-10,4890-10_1,Protein,ACTH,SL003461,Corticotropin,P01189,1,1,common,40,40
3795-6,3795-6_2,Protein,ADAM 9,SL004642,Disintegrin and metalloproteinase domain-containing protein 9,Q13443,1,1,common,40,40
4420-7,4420-7_2,Protein,ADAM12,SL009988,Disintegrin and metalloproteinase domain-containing protein 12,O43184,1,1,common,40,40
2809-25,2809-25_2,Protein,ADAMTS-4,SL004625,A disintegrin and metalloproteinase with thrombospondin motifs 4,O75173,1,1,common,40,40
3168-8,3168-8_2,Protein,ADAMTS-5,SL004626,A disintegrin and metalloproteinase with thrombospondin motifs 5,Q9UNA0,1,1,common,40,40
4959-2,4959-2_1,Protein,AGR2,SL004925,Anterior gradient protein 2 homolog,O95994,1,1,common,40,40
2849-49,2849-49_1,Protein,AIF1,SL004768,Allograft inflammatory factor 1,P55008,1,1,common,1,1
3839-60,3839-60_2,Protein,AIP,SL011629,AH receptor-interacting protein,O00170,1,1,common,40,40
4192-10,4192-10_2,Protein,AK1A1,SL008039,Alcohol dehydrogenase [NADP(+)],P14550,1,1,common,1,1
5451-1,5451-1_3,Protein,ALCAM,SL003166,CD166 antigen,Q13740,1,1,common,1,1
2969-11,2969-11_1,Protein,ALK-1,SL004851,Serine/threonine-protein kinase receptor R3,P37023,1,1,common,40,40
3709-4,3709-4_2,Protein,ALT,SL000617,Alanine aminotransferase 1,P24298,1,1,common,1,1
4322-28,4322-28_3,Protein,AMNLS,SL013489,Protein amnionless,Q9BXJ7,1,1,common,40,40
5183-53,5183-53_3,Protein,AMPK a1b1g1,SL016548,AMP Kinase (alpha1beta1gamma1),Q13131 Q9Y478 P54619,1,1,common,40,40
5245-40,5245-40_5,Protein,AMPK a2b2g1,SL016549,AMP Kinase (alpha2beta2gamma1),P54646 O43741 P54619,1,1,common,40,40
3170-6,3170-6_1,Protein,AMPM2,SL007261,Methionine aminopeptidase 2,P50579,1,1,common,40,40
4194-26,4194-26_3,Protein,AN32B,SL011769,Acidic leucine-rich nuclear phosphoprotein 32 family member B,Q92688,1,1,common,1,1
3281-19,3281-19_1,Protein,ANGL3,SL006803,Angiopoietin-related protein 3,Q9Y5C1,1,1,common,40,40
3796-79,3796-79_2,Protein,ANGL4,SL007642,Angiopoietin-related protein 4,Q9BY76,1,1,common,40,40
5443-62,5443-62_2,Rat Protein,ANP,SL002505,Atrial natriuretic factor,P01160,1,1,common,40,40
2970-60,2970-60_2,Protein,AREG,SL000136,Amphiregulin,P15514,1,1,common,40,40
